樹木編號,樹種名稱,樹種學名,樹胸徑寬度公尺,樹胸圍長度公尺,地址,緯度,經度,地理位置名稱,管理單位,英文名
4313,榕,Ficus microcarpa L. f.,0.8,2.51,臺北市士林區福林里臨溪路72號(錢穆故居),25.094,121.5477,,臺北市政府文化局,Banyan
4314,雀榕,Ficus superba var. japonica,0.96,3.02,臺北市大安區虎嘯里和平東路三段62巷7號和平新莊舊址,25.0234,121.5492,,國家住宅及都市更新中心,Large-leaved Banyan
4315,黑板樹,Alstonia scholaris (L.) R. Brown,0.83,2.61,臺北市南港區九如里九如綠地,25.0368,121.6168,,臺北市政府工務局公園路燈工程管理處,Palimara Alstonia
4316,榕,Ficus microcarpa L. f.,0.91,2.86,臺北市中正區東門里中山南路和濟南路交叉口,25.0431,121.5191,,國立臺灣大學,Banyan
4317,榕,Ficus microcarpa L. f.,1.07,3.37,臺北市中正區東門里中山南路和濟南路交叉口,25.043,121.519,,國立臺灣大學,Banyan
4318,樟,Cinnamomum camphora (L.) Presl,0.96,3.02,臺北市士林區臨溪里至善路二段322巷底,25.1012,121.5532,,財團法人台北市私立衛理女子高級中學,Camphor Tree
4319,樟,Cinnamomum camphora (L.) Presl,0.96,3.02,臺北市士林區臨溪里至善路二段322巷底,25.1012,121.5531,,財團法人台北市私立衛理女子高級中學,Camphor Tree
4320,榕,Ficus microcarpa L. f.,0.83,2.64,臺北市北投區開明里復興四路70號(臺北市立復興高級中學),25.1424,121.5021,,臺北市立復興高級中學,Banyan
4321,茄苳,Bischofia javanica Blume,0.8,2.51,臺北市中正區南門里愛國西路,25.0367,121.5084,,臺北市政府工務局新建工程處(臺北市政府工務局公園路燈工程管理處代管),Autumn Maple Tree
4322,茄苳,Bischofia javanica Blume,0.8,2.52,臺北市中正區南門里愛國西路,25.0351,121.5146,,臺北市政府工務局公園路燈工程管理處,Autumn Maple Tree
4323,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.5,1.57,臺北市信義區新仁里忠孝東路4段345號,25.0417,121.5609,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4324,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.34,1.07,臺北市信義區新仁里忠孝東路4段345號,25.0415,121.5618,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4325,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.36,1.13,臺北市信義區新仁里忠孝東路4段345號,25.0415,121.5619,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4326,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.4,1.26,臺北市信義區新仁里忠孝東路4段345號,25.0415,121.5618,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4327,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.35,1.1,臺北市信義區新仁里忠孝東路4段345號,25.0415,121.5619,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4328,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.41,1.28,臺北市信義區新仁里忠孝東路4段345號,25.0415,121.5618,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4329,大王椰子,Roystonea regia (H. B. K.) O. F. Cook,0.37,1.16,臺北市信義區新仁里忠孝東路4段345號,25.0415,121.5618,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Kuban Royal Palm
4350,亞力山大椰子,Archontophoenix alexandrae,0.15,0.47,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5605,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管), Alexandra palm
4351,亞力山大椰子,Archontophoenix alexandrae,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5606,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管), Alexandra palm
4352,亞力山大椰子,Archontophoenix alexandrae,0.17,0.53,臺北市信義區新仁里忠孝東路4段345號,25.0438,121.5581,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管), Alexandra palm
4353,亞力山大椰子,Archontophoenix alexandrae,0.15,0.47,臺北市信義區新仁里忠孝東路4段345號,25.0436,121.558,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管), Alexandra palm
4354,亞力山大椰子,Archontophoenix alexandrae,0.22,0.69,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5606,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管), Alexandra palm
4355,亞力山大椰子,Archontophoenix alexandrae,0.19,0.6,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5607,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管), Alexandra palm
4330,大葉山欖,Palaquium formosanum,0.4,1.26,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5608,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4331,大葉山欖,Palaquium formosanum,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0432,121.5595,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4332,大葉山欖,Palaquium formosanum,0.32,1,臺北市信義區新仁里忠孝東路4段345號,25.0432,121.5595,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4333,大葉山欖,Palaquium formosanum,0.37,1.16,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5627,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4334,大葉山欖,Palaquium formosanum,0.27,0.85,臺北市信義區新仁里忠孝東路4段345號,25.0429,121.5627,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4335,大葉山欖,Palaquium formosanum,0.28,0.88,臺北市信義區新仁里忠孝東路4段345號,25.0432,121.5595,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4336,大葉山欖,Palaquium formosanum,0.41,1.29,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5607,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4337,大葉山欖,Palaquium formosanum,0.29,0.97,臺北市信義區新仁里忠孝東路4段345號,25.0432,121.5596,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Nato Tree
4338,臺灣海棗,Phoenix hanceana,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0435,121.5591,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4339,臺灣海棗,Phoenix hanceana,0.31,0.97,臺北市信義區新仁里忠孝東路4段345號,25.0435,121.5591,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4340,臺灣海棗,Phoenix hanceana,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0435,121.5591,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4341,臺灣海棗,Phoenix hanceana,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0436,121.559,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4342,臺灣海棗,Phoenix hanceana,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0435,121.559,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4343,臺灣海棗,Phoenix hanceana,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0435,121.559,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4344,臺灣海棗,Phoenix hanceana,0.2,0.63,臺北市信義區新仁里忠孝東路4段345號,25.0435,121.559,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4345,臺灣海棗,Phoenix hanceana,0.3,0.94,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5624,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
4346,臺灣海棗,Phoenix hanceana,0.29,0.97,臺北市信義區新仁里忠孝東路4段345號,25.043,121.5624,,臺北市政府體育局(遠雄巨蛋事業股份有限公司代管),Formosan Date Palm
