TreeHoleID,ShapeType,Length,Area,Region,Remark,TWD97X,TWD97Y,UpdDate,lng,lat
49084,帶狀樹穴,5.81,1.56,文山區,,307580.42,2766124.7,2026-03-26 15:31:48,121.57044539191688,25.0020402812477
49088,帶狀樹穴,9.43,5.16,文山區,,307580.18,2766103.21,2026-03-26 15:31:48,121.5704421184819,25.00184628013125
49087,帶狀樹穴,10.31,1.56,文山區,,307580.63,2766096.78,2026-03-26 15:31:48,121.57044630836994,25.001788213439283
49086,帶狀樹穴,8.87,1.56,文山區,,307580.71,2766090.8,2026-03-26 15:31:48,121.57044685160105,25.00173422337224
49085,帶狀樹穴,9.63,1.56,文山區,,307580.6,2766083.16,2026-03-26 15:31:48,121.57044544339317,25.00166525415717
49130,單一樹穴,7.19,2.61,,,306454.5,2764381.9,2026-03-26 15:31:48,121.55922019756287,24.986348712767835
49131,帶狀樹穴,61.9,104.38,,,302400.43,2771149.62,2026-03-26 15:31:48,121.51932018718952,25.04759309904059
49132,帶狀樹穴,61.25,63.18,,,302413.32,2771169.65,2026-03-26 15:31:48,121.51944869274205,25.04777348229773
49133,帶狀樹穴,50.82,72.35,,,302436.23,2771154.27,2026-03-26 15:31:48,121.51967515245066,25.047633838318127
49134,單一樹穴,9.62,5.75,,,302414.16,2771148.15,2026-03-26 15:31:48,121.5194561995225,25.047579352218865
49135,單一樹穴,9.48,5.46,,,302408.87,2771155.05,2026-03-26 15:31:48,121.51940403655863,25.047641828397648
49136,單一樹穴,9.37,5.4,,,302421.36,2771153.85,2026-03-26 15:31:48,121.51952777044659,25.04763056202256
49137,單一樹穴,10.96,7.44,,,302415.65,2771159.95,2026-03-26 15:31:48,121.5194714147407,25.047685830419233
49138,單一樹穴,9.05,4.78,,,302428.56,2771158.07,2026-03-26 15:31:48,121.5195992851143,25.047668410421675
49139,單一樹穴,11.38,7.9,,,302420.86,2771163.22,2026-03-26 15:31:48,121.5195231717874,25.04771517126187
49140,單一樹穴,9.75,5.8,,,302432.83,2771161.1,2026-03-26 15:31:48,121.51964171737202,25.04769561709749
49141,帶狀樹穴,14.18,9.87,,,301977.49,2771326.36,2026-03-26 15:31:48,121.51513539589578,25.04920329366881
49142,帶狀樹穴,15.62,12.02,,,301970.36,2771328.55,2026-03-26 15:31:48,121.5150648171826,25.049223309916606
49143,帶狀樹穴,20.39,28.44,,,301975.07,2771334.36,2026-03-26 15:31:48,121.51511171447062,25.049275600487245
49144,帶狀樹穴,8.27,4.25,,,301963.08,2771330.41,2026-03-26 15:31:48,121.5149927394354,25.04924035205922
49145,單一樹穴,8.66,4.55,,,301964.34,2771335.16,2026-03-26 15:31:48,121.51500540573122,25.049283191561106
49146,單一樹穴,7.88,3.63,,,301965.65,2771339.75,2026-03-26 15:31:48,121.51501856152285,25.049324584870515
